# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
Emergency Contact,جهة الاتصال في حالات الطوارئ,جهة الاتصال في حالات الطوارئ,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Emergency Phone,هاتف الطوارئ,هاتف الطوارئ,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employee,الموظف,الموظف,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,base_security,commissions,deduction,leave_types,payroll,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employee Category,فئة الموظف,فئة الموظف,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employee Contract,عقد الموظف,عقد الموظف,matched-core,odoo-core,"annual_leave,base_security,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employee Name,اسم الموظف,اسم الموظف,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employee Type,نوع الموظف,نوع الموظف,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employee Versions,نُسَخ الموظف,نسخ الموظف,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Employees,الموظفون,الموظفون,matched-core,odoo-core,"annual_leave,commissions,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
End Date,تاريخ الانتهاء,تاريخ الانتهاء,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
End of Trial Period,نهاية الفترة التجريبية,نهاية الفترة التجريبية,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Export,تصدير,تصدير,matched-core,odoo-core,"commissions,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
February,فبراير,فبراير,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Female,أنثى,أنثى,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Followers,المتابعون,المتابعين,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Followers (Partners),المتابعون (الشركاء),المتابعين (الشركاء),matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Font awesome icon e.g. fa-tasks,أيقونة Font Awesome مثل fa-tasks,أيقونة من Font awesome مثال: fa-tasks,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Friday,الجمعة,الجمعة,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
From,من,من,matched-core,odoo-core,attendance_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
From Date,من تاريخ,من تاريخ,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Full Day,يوم كامل,يوم كامل,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Gender,الجنس,الجنس,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
General Settings,الإعدادات العامة,الإعدادات العامة,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Generate,إنشاء,إنشاء,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Generate payslips for all selected employees,إنشاء قسائم دفع الرواتب لجميع الموظفين الذين تم تحديدهم,إنشاء قسائم دفع الرواتب لجميع الموظفين الذين تم تحديدهم,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Gross,الإجمالي,الإجمالي,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Group Name,اسم المجموعة,اسم المجموعة,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Hajj Leave,إجازة الحج,إجازة الحج,matched-core,odoo-core,leave_types,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Has Message,يحتوي رسالة,يحتوي على رسالة,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Home-Work Distance,المسافة بين المنزل والعمل,المسافة بين المنزل والعمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Home-Work Distance in Km,المسافة بين المنزل والعمل بالكيلومترات,المسافة بين المنزل والعمل بالكيلومترات,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Home-Work Distance unit,وحدة قياس المسافة بين المنزل والعمل,وحدة قياس المسافة بين المنزل والعمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Hours,الساعات,ساعات,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
HR Responsible,مسؤول الموارد البشرية,مسؤول الموارد البشرية,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Human Resources,الموارد البشرية,الموارد البشرية,matched-core,odoo-core,unpaid_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Icon,الأيقونة,الأيقونة,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
ID,المعرّف | المُعرف,المعرف,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,base_security,commissions,deduction,eos_leave,ext_sync,leave_approval,leave_types,payroll,unpaid_leave,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Identification No,رقم الهوية,رقم الهوية,matched-core,odoo-core,"base_security,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Import,استيراد,استيراد,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Current,جاري,جاري,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Custom Job Title,مسمى وظيفي مخصص,مسمى وظيفي مخصص,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Flexible,مرنة,مرنة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Follower,متابع,متابع,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Fully Flexible,مرنة بالكامل,مرنة بالكامل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Future,مستقبلي,مستقبلي,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is In Contract,ضمن العقد,ضمن العقد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Is Past,في الماضي,في الماضي,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
January,يناير,يناير,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Job,الوظيفة,الوظيفة,matched-core,odoo-core,"base_security,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Job Title,المسمى الوظيفي,المسمى الوظيفي,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
July,يوليو,يوليو,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
June,يونيو,يونيو,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Last Modified by,آخر تعديل بواسطة,آخر تعديل بواسطة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Last Modified on,آخر تعديل في,آخر تعديل في,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Last Updated by,آخر تحديث بواسطة | حدّثه آخراً,آخر تحديث بواسطة,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,commissions,deduction,ext_sync,payroll,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Last Updated on,آخر تحديث | آخر تحديث في,آخر تحديث في,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,commissions,deduction,ext_sync,payroll,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Late,متأخر,متأخر,matched-core,odoo-core,attendance_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Legal Name,الاسم القانوني,الاسم القانوني,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Line,البند,البند,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Lines,البنود,البنود,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Lock,قفل,قفل,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Lunch,الغداء,الغداء,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Mail Server,خادم البريد الإلكتروني,خادم البريد الإلكتروني,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Male,ذكر,ذكر,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Manager,المدير,المدير,matched-core,odoo-core,"attendance_sheet,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Manual,يدوي,يدوي,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
March,مارس,مارس,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
